iter	RMSE
0	150026.9364
1	135557.6862
2	123645.2223
3	113742.9429
4	105467.1226
5	98475.05762
6	92844.3438
7	87800.22157
8	83552.45634
9	80431.66841
10	77473.82868
11	75088.03099
12	72809.62543
13	70878.93731
14	69246.51459
15	67600.70835
16	66313.36009
17	65109.64746
18	64174.42874
19	63077.9123
20	62274.63866
21	61559.52845
22	60685.54197
23	60068.96851
24	59418.95768
25	58963.58673
26	58488.62316
27	58005.25229
28	57537.25646
29	57001.46365
30	56610.37967
31	56323.60235
32	55927.52777
33	55705.033
34	55254.80556
35	54975.76016
36	54646.56946
37	54280.81871
38	54109.95172
39	53836.16304
40	53613.07659
41	53328.31073
42	53088.76276
43	52828.36268
44	52653.49803
45	52492.39504
46	52223.60559
47	51986.38673
48	51854.19862
49	51660.31041
50	51560.72691
51	51368.62791
52	51169.40844
53	51060.21987
54	50891.0722
55	50755.12798
56	50615.62097
57	50517.85077
58	50418.42919
59	50273.38942
60	50097.24887
61	50009.24958
62	49895.04435
63	49788.71884
64	49648.28173
65	49498.28504
66	49366.26974
67	49236.721
68	49157.56547
69	49018.82857
70	48892.0613
71	48797.29541
72	48691.69325
73	48597.14009
74	48503.35947
75	48374.13326
76	48261.91102
77	48170.19277
78	48091.24821
79	48010.21821
80	47901.8589
81	47801.18507
82	47710.17996
83	47643.14554
84	47518.48723
85	47430.78469
86	47357.81002
87	47287.59714
88	47202.7213
89	47102.6543
90	47006.41092
91	46916.19646
92	46840.09183
93	46770.28593
94	46710.63758
95	46634.9526
96	46549.52798
97	46463.09374
98	46398.84261
99	46340.71407
100	46269.59429
101	46229.06319
102	46173.97511
103	46097.94021
104	46034.10879
105	45981.08594
106	45908.43809
107	45863.22073
108	45787.02017
109	45743.47222
110	45657.12743
111	45588.19875
112	45530.92821
113	45478.32187
114	45430.1052
115	45389.30892
116	45340.39034
117	45270.19121
118	45262.76396
119	45210.3565
120	45175.06184
121	45132.12487
122	45083.53338
123	45015.19946
124	44975.59739
125	44930.25164
126	44895.9027
127	44854.99635
128	44854.9132
129	44799.83544
130	44799.75594
131	44752.64915
132	44724.5081
133	44649.683
134	44649.60829
135	44604.1442
136	44566.96528
137	44524.90445
138	44494.60174
139	44462.83894
140	44462.7677
141	44462.7006
142	44462.62565
143	44410.57045
144	44374.32449
145	44318.05605
146	44290.98731
147	44240.50485
148	44193.32221
149	44193.25221
150	44193.1949
151	44166.73391
152	44166.68252
153	44152.30102
154	44121.28304
155	44080.47412
156	44045.76015
157	44013.8288
158	43978.40319
159	43941.77473
160	43905.38825
161	43882.97729
162	43848.3922
163	43809.01881
164	43770.97892
165	43747.42661
166	43720.24151
167	43669.6494
168	43618.02396
169	43591.69661
170	43525.26049
171	43525.21772
172	43525.17748
173	43499.75251
174	43476.36649
175	43441.45293
176	43412.79772
177	43367.87279
178	43347.68219
179	43317.0934
180	43317.05873
181	43283.80387
182	43263.39766
183	43245.60964
184	43198.77632
185	43165.16225
186	43140.4737
187	43121.78764
188	43095.10284
189	43074.26464
190	43045.42744
191	43024.32701
192	42981.95999
193	42966.42238
194	42966.39126
195	42966.34997
196	42934.62619
197	42908.27593
198	42884.18808
199	42851.1938
200	42819.7567
201	42793.06786
202	42777.07008
203	42745.09786
204	42715.11826
205	42686.41765
206	42664.39409
207	42638.81703
208	42610.16848
209	42580.33869
210	42575.31579
211	42537.48089
212	42512.46494
213	42487.79006
214	42461.93846
215	42431.45489
216	42410.10607
217	42386.09034
218	42342.48806
219	42307.01957
220	42295.63804
221	42281.23259
222	42236.8284
223	42222.42503
224	42222.3867
225	42192.62048
226	42148.7438
227	42126.49784
228	42104.18578
229	42082.75518
230	42046.69914
231	42027.90823
232	42006.5507
233	42006.52629
234	41981.72281
235	41954.3426
236	41938.84944
237	41908.89325
238	41892.94965
239	41873.46101
240	41852.04385
241	41826.25067
242	41802.01533
243	41777.29335
244	41761.79311
245	41729.7658
246	41710.08242
247	41709.99531
248	41688.41114
249	41666.13405
250	41649.66994
251	41623.62362
252	41604.56105
