iter	Passed	Remaining
0	69	139401
1	127	127604
2	200	133798
3	267	133295
4	325	129700
5	389	129306
6	455	129633
7	513	127870
8	572	126745
9	647	128916
10	715	129413
11	774	128391
12	835	127642
13	908	128855
14	982	130008
15	1041	129084
16	1098	128143
17	1171	129021
18	1251	130529
19	1311	129846
20	1370	129184
21	1429	128499
22	1486	127752
23	1543	127075
24	1601	126494
25	1677	127370
26	1759	128572
27	1818	128049
28	1874	127414
29	1932	126925
30	1991	126508
31	2049	126066
32	2106	125578
33	2164	125165
34	2249	126310
35	2310	126054
36	2370	125740
37	2445	126273
38	2507	126078
39	2565	125731
40	2625	125458
41	2685	125208
42	2747	125044
43	2805	124738
44	2864	124432
45	2930	124468
46	3006	124909
47	3064	124638
48	3123	124377
49	3183	124138
50	3243	123937
51	3304	123779
52	3364	123592
53	3423	123364
54	3507	124043
55	3566	123816
56	3624	123567
57	3686	123433
58	3748	123314
59	3809	123181
60	3867	122937
61	3949	123450
62	4014	123424
63	4073	123209
64	4130	122968
65	4189	122759
66	4247	122534
67	4307	122379
68	4367	122237
69	4427	122079
70	4516	122709
71	4578	122594
72	4636	122402
73	4696	122242
74	4758	122137
75	4815	121916
76	4873	121713
77	4946	121897
78	5006	121748
79	5069	121670
80	5140	121775
81	5210	121882
82	5271	121742
83	5330	121589
84	5392	121483
85	5452	121345
86	5514	121266
87	5575	121143
88	5669	121734
89	5739	121801
90	5800	121676
91	5857	121486
92	5916	121328
93	5976	121181
94	6034	121016
95	6092	120829
96	6151	120684
97	6238	121071
98	6296	120903
99	6357	120786
100	6418	120687
101	6477	120537
102	6534	120352
103	6593	120199
104	6673	120439
105	6736	120373
106	6795	120216
107	6857	120131
108	6915	119968
109	6974	119832
110	7036	119749
111	7097	119650
112	7184	119969
113	7246	119883
114	7308	119799
115	7393	120080
116	7454	119966
117	7511	119796
118	7520	118876
119	7583	118801
120	7640	118650
121	7698	118504
122	7757	118375
123	7859	118909
124	7922	118837
125	7980	118699
126	8042	118606
127	8111	118626
128	8116	117724
129	8176	117619
130	8181	116731
131	8262	116930
132	8329	116931
133	8389	116820
134	8394	115969
135	8460	115960
136	8528	115973
137	8596	115984
138	8658	115926
139	8718	115828
140	8724	115022
141	8729	114219
142	8735	113445
143	8805	113488
144	8872	113509
145	8946	113612
146	9008	113552
147	9095	113812
148	9162	113828
149	9167	113071
150	9172	112323
151	9231	112240
152	9237	111512
153	9306	111553
154	9372	111561
155	9432	111497
156	9491	111421
157	9549	111333
158	9622	111412
159	9697	111524
160	9763	111525
161	9824	111470
162	9902	111597
163	9964	111558
164	10027	111519
165	10091	111492
166	10149	111401
167	10209	111333
168	10313	111743
169	10385	111793
170	10450	111777
171	10455	111117
172	10460	110468
173	10519	110398
174	10593	110475
175	10662	110502
176	10721	110420
177	10781	110361
178	10838	110263
179	10896	110176
180	10901	109562
181	10958	109469
182	11020	109424
183	11115	109704
184	11180	109688
185	11251	109729
186	11326	109814
187	11390	109786
188	11448	109702
189	11508	109637
190	11567	109554
191	11638	109595
192	11700	109550
193	11763	109507
194	11768	108936
195	11775	108378
196	11833	108304
197	11891	108228
198	11972	108357
199	12054	108486
200	12116	108443
201	12176	108385
202	12246	108412
203	12323	108490
204	12384	108439
205	12445	108383
206	12506	108331
207	12566	108267
208	12625	108195
209	12684	108123
210	12758	108171
211	12839	108287
212	12898	108216
213	12956	108131
214	13018	108083
215	13080	108038
216	13139	107962
217	13199	107894
218	13282	108014
219	13354	108050
220	13415	107995
221	13477	107942
222	13539	107894
223	13599	107825
224	13605	107333
225	13665	107269
226	13724	107197
227	13798	107241
228	13866	107238
229	13926	107170
230	13986	107105
231	14062	107168
232	14141	107243
233	14146	106761
234	14208	106716
235	14273	106684
236	14333	106622
237	14391	106544
238	14450	106472
239	14508	106395
240	14597	106542
241	14659	106491
242	14717	106413
243	14778	106355
244	14841	106310
245	14899	106233
246	14969	106241
247	14985	105862
248	15048	105820
249	15107	105751
250	15165	105675
251	15228	105633
252	15297	105628
253	15368	105642
254	15376	105223
255	15435	105151
256	15516	105233
257	15580	105197
258	15644	105159
259	15706	105115
260	15772	105092
261	15836	105052
262	15904	105039
263	15979	105077
264	16048	105070
265	16108	105008
266	16167	104936
267	16227	104874
268	16292	104840
269	16381	104961
270	16441	104896
271	16499	104821
272	16575	104853
273	16638	104811
274	16697	104739
275	16760	104690
276	16820	104627
277	16880	104564
278	16940	104493
279	16999	104425
280	17094	104575
281	17155	104512
282	17213	104436
283	17279	104407
284	17340	104347
285	17398	104269
286	17482	104347
287	17549	104321
288	17611	104267
289	17674	104215
290	17735	104160
291	17795	104093
292	17855	104022
293	17914	103954
294	17973	103878
295	18062	103978
296	18123	103919
297	18184	103858
298	18246	103802
299	18308	103749
300	18369	103687
301	18429	103617
302	18516	103702
303	18575	103631
304	18636	103572
305	18699	103521
306	18760	103459
307	18824	103410
308	18906	103465
309	18983	103491
310	19046	103439
311	19107	103375
312	19169	103320
313	19232	103267
314	19300	103244
315	19361	103177
316	19437	103197
317	19500	103141
318	19558	103066
319	19619	103000
320	19678	102927
321	19739	102866
322	19798	102794
323	19859	102728
324	19939	102765
325	20003	102717
326	20063	102648
327	20123	102579
328	20182	102508
329	20246	102459
330	20309	102407
331	20368	102333
332	20435	102300
333	20508	102298
334	20569	102232
335	20630	102171
336	20692	102110
337	20751	102037
338	20811	101971
339	20871	101900
340	20963	101988
341	21021	101912
342	21084	101859
343	21146	101799
344	21207	101735
345	21270	101679
